step,H_B_biased,H_A_biased,S_B_biased,S_A_biased,H_Gini_biased,S_Gini_biased,H_B_unbiased,H_A_unbiased,S_B_unbiased,S_A_unbiased,H_Gini_unbiased,S_Gini_unbiased
0,7.028645833333333,7.803836633663367,9.968,10.133,-0.0733053755715219,-0.0008264158415841861,7.057291666666667,7.797029702970297,10.047749999999999,10.113062499999998,-0.0729958523840627,0.0006290148514851763
1,7.063020833333333,7.801856435643564,9.93325,10.266687499999998,-0.06921390992167105,-0.0007307450980391793,7.100520833333333,7.793007425742574,10.084499999999998,10.228874999999999,-0.06901711803447762,0.00012822549019611497
2,7.097395833333333,7.800247524752475,9.957499999999998,10.372750000000002,-0.06663981187950901,0.0005253991855933333,7.163541666666666,7.784653465346534,10.155750000000001,10.3233125,-0.06468385211469722,0.0011516939104744234
3,7.1148437499999995,7.8035891089108915,9.90925,10.4921875,-0.06393113011399568,0.0008601912178573256,7.209635416666667,7.780507425742574,10.205,10.416249999999998,-0.060629104798654604,0.00017534220165799113
4,7.1382812499999995,7.8051980198019795,9.876999999999999,10.602999999999998,-0.059917856886995885,0.0013518713304901248,7.25078125,7.77809405940594,10.28975,10.498312499999999,-0.05754552648547256,-0.0005507191630166505
5,7.17890625,7.80309405940594,9.9165,10.695062499999999,-0.05629368105944747,0.001719188090347128,7.290364583333333,7.7772277227722775,10.40625,10.571249999999997,-0.05478199772246628,-0.00107971200151827
6,7.19453125,7.807611386138614,9.915999999999999,10.795499999999997,-0.05230372956735461,0.0014203171494218854,7.343489583333333,7.772648514851484,10.445499999999997,10.664499999999999,-0.052193046389909264,-0.001485019819785864
7,7.221093749999999,7.809777227722773,9.958749999999998,10.883624999999997,-0.0493846201318739,0.0015831553513761085,7.371354166666666,7.774690594059406,10.618249999999998,10.721499999999997,-0.048294277176913834,-0.00195775335604181
8,7.251041666666667,7.811757425742574,10.037499999999998,10.969249999999997,-0.04710700146675147,0.0011028155690955385,7.419010416666666,7.772215346534652,10.661249999999995,10.816562499999998,-0.04512553216343909,-0.0015758193871401424
9,7.280729166666667,7.813737623762377,10.029249999999998,11.079249999999996,-0.044605214357963524,0.0001469213607194438,7.458072916666667,7.7720915841584155,10.739499999999996,10.906437499999997,-0.04175672346274541,-0.001929502301562094
10,7.3023437499999995,7.818254950495049,10.066749999999997,11.178437499999998,-0.04164044849207175,0.00024483164629753045,7.497395833333333,7.771967821782178,10.846499999999997,10.990312499999998,-0.03817963208860974,-0.0015859641200377686
11,7.321093749999999,7.824071782178218,10.140749999999997,11.269812499999999,-0.040108469750889705,-0.0004506700470843646,7.528645833333333,7.774752475247524,10.987499999999995,11.066999999999997,-0.035160122937560614,-0.0015740424030187385
12,7.351041666666667,7.82710396039604,10.141749999999996,11.379999999999995,-0.03695036648267134,-0.001324623731736769,7.563802083333333,7.7762995049504955,11.102749999999997,11.148937499999997,-0.03232096179949587,-0.0017908336849286456
